first_name,last_name,baker_age,baker_occupation,hometown,series,episode,signature_bake,show_stopper,result,technical
Annetha,Mills,30,Midwife,Essex,1,1,Light Jamaican Black Cakewith Strawberries and Cream,"Red, White & Blue Chocolate Cake with Cigarellos, Fresh Fruit, and Cream",IN,2
David,Chambers,31,Entrepreneur,Milton Keynes,1,1,Chocolate Orange Cake,"Black Forest Floor Gateauxwith Moulded Chocolate Leaves, Fallen Fruitand Chocolate Mushrooms Moulded from eggs",IN,3
Edd,Kimber,24,Debt collector for Yorkshire Bank,Bradford,1,1,Caramel Cinnamon and Banana Cake,N/A,IN,1
Jasminder,Randhawa,45,Assistant Credit Control Manager,Birmingham,1,1,Fresh Mango and Passion Fruit Hummingbird Cake,N/A,IN,NA
Jonathan,Shepherd,25,Research Analyst,St Albans,1,1,Carrot Cake with Lime and Cream Cheese Icing,Three Tiered White and Dark Chocolate with Almond and Cherry,IN,9
Lea,Harris,51,Retired,"Midlothian, Scotland",1,1,Cranberry and Pistachio Cakewith Orange Flower Water Icing,Raspberries and Cream filled Chocolatewith Chocolate-dipped Fresh Fruit,OUT,10
Louise,Brimelow,44,Police Officer,Manchester,1,1,Carrot and Orange Cake,"Never Fail Chocolate Sponge Cake,with Fresh Fruit, White & Chocolate Cigarello Border",IN,NA
Mark,Whithers,48,Bus Driver,South Wales,1,1,Sticky Marmalade Tea Loaf,Heart-shaped Chocolate and Beetroot Cake with Store-Bought silver chocolate hearts and chocolate red and white roses.,OUT,NA
Miranda,Browne,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",1,1,"Triple Layered Brownie Meringue Cake
with Raspberry Cream",Three Tiered Chocolate Fudge Cake  with Handmade Chocolate Button Decorations,IN,8
Ruth,Clemens,31,Retail manager/Housewife,"Poynton, Cheshire",1,1,Three Tiered Lemon Drizzle Cakewith Fresh Cream and freshly made Lemon Curd,Classic Chocolate Sponge wrapped in a Chocolate Collartopped with Handmade White and Dark Chocolate Truffles,IN,NA
Annetha,Mills,30,Midwife,Essex,1,2,Rose Petal Shortbread,Pink Swirl Macarons / Eclairs,OUT,7
David,Chambers,31,Entrepreneur,Milton Keynes,1,2,Cheddar Cheese and Fresh Rosemary Biscuits,Choux Pastry Swans  Chocolate Profiteroles,IN,8
Edd,Kimber,24,Debt collector for Yorkshire Bank,Bradford,1,2,Oatmeal Raisin Cookie,Pink Macarons,IN,6
Jasminder,Randhawa,45,Assistant Credit Control Manager,Birmingham,1,2,Millionaires' Shortbread,Meringues with Chocolate and Space DustCoffee flavoured Eclairs,IN,2
Jonathan,Shepherd,25,Research Analyst,St Albans,1,2,Honey and Candied Ginger Cookies,Meringues with Whiskey Cream,IN,1
Lea,Harris,51,Retired,"Midlothian, Scotland",1,2,NA,NA,NA,NA
Louise,Brimelow,44,Police Officer,Manchester,1,2,Stained Glass Window Shortbread,"Strawberry, Mint, and Cream Meringues  Chocolate Eclairs / Orange, Yellow and Pink Macarons",OUT,4
Mark,Whithers,48,Bus Driver,South Wales,1,2,NA,NA,NA,NA
Miranda,Browne,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",1,2,Fresh Vanilla Biscuits with Royal Icing,Pistachio Macarons,IN,3
Ruth,Clemens,31,Retail manager/Housewife,"Poynton, Cheshire",1,2,Peanut Shortbread withSalted Peanut Caramel,Almond Macaron with Violet ButtercreamRaspberries and Cream Eclairs,IN,5
Annetha,Mills,30,Midwife,Essex,1,3,NA,NA,NA,NA
David,Chambers,31,Entrepreneur,Milton Keynes,1,3,Chilli Bread,"Walnut and Seed Roll
Red Berry and Almond Bun",IN,4
Edd,Kimber,24,Debt collector for Yorkshire Bank,Bradford,1,3,Olive Bread,Tomato and Mozzarella,IN,1
Jasminder,Randhawa,45,Assistant Credit Control Manager,Birmingham,1,3,Focaccia,"Mango and Sultana Buns
Pan au Chocolat with Mars Bars
Tutti Frutti Wheel with Jelly Tots",IN,5
Jonathan,Shepherd,25,Research Analyst,St Albans,1,3,"Anchovy, Sweet Paprika and Oregano Bread","Sticky Lemon Honey Bun
Olive and Anchovy Roll
Sundried Tomatoes and Fresh Herbs Roll
Stilton, Walnut and Apple Roll
Cinnamon and Cardamom Chelsea Bun",OUT,6
Lea,Harris,51,Retired,"Midlothian, Scotland",1,3,NA,NA,NA,NA
Louise,Brimelow,44,Police Officer,Manchester,1,3,NA,NA,NA,NA
Mark,Whithers,48,Bus Driver,South Wales,1,3,NA,NA,NA,NA
Miranda,Browne,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",1,3,Walnut and Apricot Bread,"Lemon Iced Buns
Chocolate and Orange Buns",IN,3
Ruth,Clemens,31,Retail manager/Housewife,"Poynton, Cheshire",1,3,Maple and Pecan Bread,"Chocolate and Orange Panettone
Cranberry Bagels",IN,2
Annetha,Mills,30,Midwife,Essex,1,4,NA,NA,NA,NA
David,Chambers,31,Entrepreneur,Milton Keynes,1,4,Pear and Walnut Pudding,"Apple and Blackberry Crumble, Rhubarb and Orange Betty, Suet Pear",OUT,5
Edd,Kimber,24,Debt collector for Yorkshire Bank,Bradford,1,4,Apple and Plum Pudding,"Apple and Cinnamon Crumble, Nutella Banana Brioche Bread Pudding, Rhubarb and Strawberry Suet Layer",IN,3
Jasminder,Randhawa,45,Assistant Credit Control Manager,Birmingham,1,4,Sticky Toffee Pudding with Tropical Fruit & Toffee Sauce,"Bread & Butter Pudding, Treacle Suet Pudding with Fresh Fruit, Apple and Pineapple Crumble",IN,2
Jonathan,Shepherd,25,Research Analyst,St Albans,1,4,NA,NA,NA,NA
Lea,Harris,51,Retired,"Midlothian, Scotland",1,4,NA,NA,NA,NA
Louise,Brimelow,44,Police Officer,Manchester,1,4,NA,NA,NA,NA
Mark,Whithers,48,Bus Driver,South Wales,1,4,NA,NA,NA,NA
Miranda,Browne,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",1,4,Sticky Toffee Pudding,"Queen of Puddings, Chocolate Pear Roly Poly, Strawberry and Rhubarb Crumble",IN,1
Ruth,Clemens,31,Retail manager/Housewife,"Poynton, Cheshire",1,4,Peach and Blueberry Boy Bait,"Apple & Ginger Crumble, Rhubarb Suet Crust, Cherry Queen of Puddings",IN,4
Annetha,Mills,30,Midwife,Essex,1,5,NA,NA,NA,NA
David,Chambers,31,Entrepreneur,Milton Keynes,1,5,NA,NA,NA,NA
Edd,Kimber,24,Debt collector for Yorkshire Bank,Bradford,1,5,"Chicken, Ham, Leek and Tarragon Pie","Almond Sweet Pastry with Ginger and Chocolate  Raspberry Tart / Yorkshire Curd Tart  Chickpea and Salami, Red and Yellow Pepper, Asparagus Gruyere Quiche Canapés",IN,2
Jasminder,Randhawa,45,Assistant Credit Control Manager,Birmingham,1,5,Chicken and Mushroom Pie,"Jaggery, Carrot, and Spiced Condensed Milk Tart  Fruit and Custard Tart  Thai Chili Red Onion, Duck in Plum Sauce, Salmon and Prawn Canapés",OUT,4
Jonathan,Shepherd,25,Research Analyst,St Albans,1,5,NA,NA,NA,NA
Lea,Harris,51,Retired,"Midlothian, Scotland",1,5,NA,NA,NA,NA
Louise,Brimelow,44,Police Officer,Manchester,1,5,NA,NA,NA,NA
Mark,Whithers,48,Bus Driver,South Wales,1,5,NA,NA,NA,NA
Miranda,Browne,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",1,5,"Summery Salmon, Cod and Prawn Fish Pie","Chocolate Pastry filled with Orange Cheesecake  Chocolate Pastry filled with Milk Chocolate Ganche  Strawberry Tart with Red Currant Glaze  Cheesy Crab, Broad Bean and Tomato, Pancetta Risotto Canapés",IN,1
Ruth,Clemens,31,Retail manager/Housewife,"Poynton, Cheshire",1,5,Minced Beef Pie,"Raspberry and Dark Chocolate Tart  Creme Patisserie and Cherry Tart  Citrus Curd Tart with Creme Brulee top  Tomato, Asparagus Twirl Canapés",IN,3
Annetha,Mills,30,Midwife,Essex,1,6,NA,NA,NA,NA
David,Chambers,31,Entrepreneur,Milton Keynes,1,6,NA,NA,NA,NA
Edd,Kimber,24,Debt collector for Yorkshire Bank,Bradford,1,6,Cinnamon and Banana Cake,NA,WINNER,NA
Jasminder,Randhawa,45,Assistant Credit Control Manager,Birmingham,1,6,NA,NA,NA,NA
Jonathan,Shepherd,25,Research Analyst,St Albans,1,6,NA,NA,NA,NA
Lea,Harris,51,Retired,"Midlothian, Scotland",1,6,NA,NA,NA,NA
Louise,Brimelow,44,Police Officer,Manchester,1,6,NA,NA,NA,NA
Mark,Whithers,48,Bus Driver,South Wales,1,6,NA,NA,NA,NA
Miranda,Browne,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",1,6,Lemon Cupcake,Eliminated after signature,Runner-up,NA
Ruth,Clemens,31,Retail manager/Housewife,"Poynton, Cheshire",1,6,"Mint, Ginger and Blackberry Cake",NA,Runner-up,NA
Ben,Frazer,31,Graphic Designer,Northampton,2,1,Rhubarb and Custard CupcakesAfter Dinner Cupcakes,Vanilla Sponge with White Chocolate and Raspberry Buttercream,IN,2
Holly,Bell,31,Advertising executive,Leicester,2,1,Cherry Bakewell Inspired CupcakesGinger Cupcakes with Fig Truffle,UNKNOWN,STAR BAKER,1
Ian,Vallance,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",2,1,Apple and Cinnamon Cupcakes,UNKNOWN,IN,10
Janet,Basu,63,Teacher of Modern Languages,"Formby, Liverpool",2,1,Raspberry and Cream Cupcakes,Chocolate Marble Cakewith Dark and White Chocolate Truffles,IN,8
Jason,White,19,Civil Engineering Student,Croydon,2,1,Lemon Meringue CupcakesApple and Cinnamon Cupcakes,UNKNOWN,IN,6
Keith,Batsford,31,House husband,"Arlesey, Bedfordshire",2,1,Earl Grey Cupcakes,Chocolate and Sour Cream Cake,OUT,12
Mary-Anne,Boermans,45,Housewife,"Kidderminster, Worcestershire",2,1,Banoffee Cupcakes,Chocolate and Raspberry Opera cake,IN,4
Robert,Billington,25,Photographer,London,2,1,Blackberry and Vanilla Cupcakeswith Liquorice Frosting,Genoise Layered Mousse Cakewith Chocolate Ganache,IN,3
Simon,Blackwell,31,Rugby Coach,Norfolk,2,1,Guinness and Chocolate Cupcakes,Two-Tiered Chocolate Courgette Cake,IN,9
Urvashi,Roe,40,Head of Marketing,"Enfield, London",2,1,Cherry Blossom CupcakesJapanese Lime Cupcakes,UNKNOWN,IN,7
Yasmin,Limbert,43,Childminder,"West Kirby, The Wirral",2,1,Cardamom and Pomegranate Cupcakes,UNKNOWN,IN,5
Ben,Frazer,31,Graphic Designer,Northampton,2,2,"Chorizo, Pepper and Gruyere Quiche",Lemon Meringue Tarts,IN,1
Holly,Bell,31,Advertising executive,Leicester,2,2,Pesto Quiche,Milk Chocolate and Pistachio TartsTrifle Tarts,IN,4
Ian,Vallance,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",2,2,"Stilton, Spinach and New Potato Quichewith Paprika and Walnut Pastry",UNKNOWN,IN,2
Janet,Basu,63,Teacher of Modern Languages,"Formby, Liverpool",2,2,Quiche Printanière,Red Fruit TartsChocolate and Cherry Tarts,IN,8
Jason,White,19,Civil Engineering Student,Croydon,2,2,Salmon and Pak Choi Quiche,Mint Chocolate Tarts Blueberry Bakewell Tarts,STAR BAKER,3
Keith,Batsford,31,House husband,"Arlesey, Bedfordshire",2,2,NA,NA,NA,NA
Mary-Anne,Boermans,45,Housewife,"Kidderminster, Worcestershire",2,2,"Roasted Cauliflower, Cheese andCaramelised Onion Quiche",Butterscotch Brulée Tarts in Pecan PastryApple Rose Tarts,IN,9
Robert,Billington,25,Photographer,London,2,2,Smoked Bacon and Kale Quiche,"Chocolate, Fennel and Ginger TartAlmond, Creme Patissiere and Poached Pear Tart",IN,5
Simon,Blackwell,31,Rugby Coach,Norfolk,2,2,Smoked Haddock and Watercress Quiche,"Passion Fruit and Ricotta TartsSalted Chocolate, Stem Ginger and Mascarpone Cream Tarts",OUT,11
Urvashi,Roe,40,Head of Marketing,"Enfield, London",2,2,"Crab, Coriander and Coconut Quiche",Strawberry and Basil TartsElderflower and Honeycomb Tarts,IN,7
Yasmin,Limbert,43,Childminder,"West Kirby, The Wirral",2,2,Smoked Haddock and Watercress Quiche,Chocolate and Orange with Cinnamon-Orange Pastry TartsBlueberry and Hazelnut with Hazelnut Pastry Tarts,IN,6
Ben,Frazer,31,Graphic Designer,Northampton,2,3,"Walnut, Raisin and Rosemary Loaf",UNKNOWN,IN,3
Holly,Bell,31,Advertising executive,Leicester,2,3,Picnic Loaf,Stilton and Walnut Rolls,IN,6
Ian,Vallance,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",2,3,"Courgette, Caerphilly Cheese and Thyme Loaf",Walnut and Raisin RollsCracked Wheat Logs,OUT,10
Janet,Basu,63,Teacher of Modern Languages,"Formby, Liverpool",2,3,Zupfe Loaf with Gruyère Cheese,Apple and Walnut Granary Rolls Red Onion Cottage Rolls,IN,8
Jason,White,19,Civil Engineering Student,Croydon,2,3,Cheese and Onion Tear and Share Loaf,UNKNOWN,IN,7
Keith,Batsford,31,House husband,"Arlesey, Bedfordshire",2,3,NA,NA,NA,NA
Mary-Anne,Boermans,45,Housewife,"Kidderminster, Worcestershire",2,3,Ploughman's Loaf,Herb and Walnut BreadsChocolate and Chilli Buns,IN,5
Robert,Billington,25,Photographer,London,2,3,Rye and Coriander Seed Loaf,Blueberry Brioche RollsLemon and Poppy Seed Rolls,IN,4
Simon,Blackwell,31,Rugby Coach,Norfolk,2,3,NA,NA,NA,NA
Urvashi,Roe,40,Head of Marketing,"Enfield, London",2,3,Salt and Peppercorn Loaf,Chilli and Halloumi RollsLemon and Coriander Mini Loaves,OUT,9
Yasmin,Limbert,43,Childminder,"West Kirby, The Wirral",2,3,Egyptian Dukkah Loaf with Mixed Spices,"Pesto Bread
Sweet Coconut Rolls",STAR BAKER,2
Ben,Frazer,31,Graphic Designer,Northampton,2,4,Stem Ginger Nuts,Chocolate and Almond MacaronsPine Nut MacaronsPistachio Macarons,OUT,5
Holly,Bell,31,Advertising executive,Leicester,2,4,Strawberry and Custard Melts,"'Chocolate bars of my youth'
(Caramel Macarons, Mint Chocolate Macarons and Chocolate Orange Macarons)",STAR BAKER,3
Ian,Vallance,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",2,4,NA,NA,NA,NA
Janet,Basu,63,Teacher of Modern Languages,"Formby, Liverpool",2,4,Christmas Marzipan Biscuits,"Raspberry Macarons
Blackcurrant Macarons
Almond Macarons",IN,4
Jason,White,19,Civil Engineering Student,Croydon,2,4,Lebkuchen,"Mocktail Macarons
(Mojito, Cranberry Cooler, and Pina Colada)",STAR BAKER,1
Keith,Batsford,31,House husband,"Arlesey, Bedfordshire",2,4,NA,NA,NA,NA
Mary-Anne,Boermans,45,Housewife,"Kidderminster, Worcestershire",2,4,Melting Moments,Blackcurrant and Mint MacaronsGooseberry and Elderflower MacaronsHazelnut Macarons,IN,2
Robert,Billington,25,Photographer,London,2,4,Chocolate and Ginger Oat Biscuits,Strawberry and Lime MacaronsLemon MacaronsChocolate and Cardamom Macarons,IN,7
Simon,Blackwell,31,Rugby Coach,Norfolk,2,4,NA,NA,NA,NA
Urvashi,Roe,40,Head of Marketing,"Enfield, London",2,4,NA,NA,NA,NA
Yasmin,Limbert,43,Childminder,"West Kirby, The Wirral",2,4,Chocolate Chip and Pistachio Biscotti,Chocolate and Lime MacaronsCoffee and Walnut MacaronsPineapple and Coconut Macarons,IN,6
Ben,Frazer,31,Graphic Designer,Northampton,2,5,NA,NA,NA,NA
Holly,Bell,31,Advertising executive,Leicester,2,5,"Stilton, Potato and Caramelised Onion Pie",Lime Meringue Pie,IN,4
Ian,Vallance,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",2,5,NA,NA,NA,NA
Janet,Basu,63,Teacher of Modern Languages,"Formby, Liverpool",2,5,Chicken and Chestnut Pie,Rhubarb Meringue Pie,STAR BAKER,1
Jason,White,19,Civil Engineering Student,Croydon,2,5,Brown Down Chicken Pie,Plum Meringue Pie,OUT,7
Keith,Batsford,31,House husband,"Arlesey, Bedfordshire",2,5,NA,NA,NA,NA
Mary-Anne,Boermans,45,Housewife,"Kidderminster, Worcestershire",2,5,Chicken and Bacon Pie,Midnight Meringue,IN,2
Robert,Billington,25,Photographer,London,2,5,Chicken and Mushroom Pie,Rhubarb and Custard Meringue Pie,OUT,3
Simon,Blackwell,31,Rugby Coach,Norfolk,2,5,NA,NA,NA,NA
Urvashi,Roe,40,Head of Marketing,"Enfield, London",2,5,NA,NA,NA,NA
Yasmin,Limbert,43,Childminder,"West Kirby, The Wirral",2,5,Family Fish Pie,Peach and Raspberry Meringue Pie,IN,5
Ben,Frazer,31,Graphic Designer,Northampton,2,6,NA,NA,NA,NA
Holly,Bell,31,Advertising executive,Leicester,2,6,Father Christmas' Baked Cheesecake,Hansel and Gretel's Croquembouche,IN,3
Ian,Vallance,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",2,6,NA,NA,NA,NA
Janet,Basu,63,Teacher of Modern Languages,"Formby, Liverpool",2,6,Rhubarb and Ginger Baked Cheesecake,Orange and Nougatine Croquembouche,IN,5
Jason,White,19,Civil Engineering Student,Croydon,2,6,NA,NA,NA,NA
Keith,Batsford,31,House husband,"Arlesey, Bedfordshire",2,6,NA,NA,NA,NA
Mary-Anne,Boermans,45,Housewife,"Kidderminster, Worcestershire",2,6,Tutti Fruitti Curd Baked Cheesecake,Orange and Praline Croquembouche with Cardamom Caramel,IN,4
Robert,Billington,25,Photographer,London,2,6,NA,NA,NA,NA
Simon,Blackwell,31,Rugby Coach,Norfolk,2,6,NA,NA,NA,NA
Urvashi,Roe,40,Head of Marketing,"Enfield, London",2,6,NA,NA,NA,NA
Yasmin,Limbert,43,Childminder,"West Kirby, The Wirral",2,6,Baked Amaretto Cheesecake,Rose Croquembouche,OUT,2
Ben,Frazer,31,Graphic Designer,Northampton,2,7,NA,NA,NA,NA
Holly,Bell,31,Advertising executive,Leicester,2,7,"White Chocolate, Hazelnut and Raspberry Genoise Mousse Cake","Apricot, Macadamia and White Chocolate PinwheelsAlmond CroissantsApple, Raisin and Cinnamon Plaits",IN,1
Ian,Vallance,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",2,7,NA,NA,NA,NA
Janet,Basu,63,Teacher of Modern Languages,"Formby, Liverpool",2,7,Chocolate Amaretto Mousse Cake,Pain Aux RaisinPlain CroissantPain Au Chocolat,OUT,4
Jason,White,19,Civil Engineering Student,Croydon,2,7,NA,NA,NA,NA
Keith,Batsford,31,House husband,"Arlesey, Bedfordshire",2,7,NA,NA,NA,NA
Mary-Anne,Boermans,45,Housewife,"Kidderminster, Worcestershire",2,7,Chocolate and Orange Mousse Cake,Raspberry Rose DanishesPraline SpiralsAlsatian Plaited Danishes,IN,2
Robert,Billington,25,Photographer,London,2,7,NA,NA,NA,NA
Simon,Blackwell,31,Rugby Coach,Norfolk,2,7,NA,NA,NA,NA
Urvashi,Roe,40,Head of Marketing,"Enfield, London",2,7,NA,NA,NA,NA
Yasmin,Limbert,43,Childminder,"West Kirby, The Wirral",2,7,NA,NA,NA,NA
Ben,Frazer,31,Graphic Designer,Northampton,2,8,NA,NA,NA,NA
Holly,Bell,31,Advertising executive,Leicester,2,8,Banoffee Inspired Mille Feuille,Strawberry and Cream Meringue NestGooseberry and Elderflower 'Bakewell' TartsNeapolitan Ice-Cream Sandwich,Runner-up,2
Ian,Vallance,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",2,8,NA,NA,NA,NA
Janet,Basu,63,Teacher of Modern Languages,"Formby, Liverpool",2,8,NA,NA,NA,NA
Jason,White,19,Civil Engineering Student,Croydon,2,8,NA,NA,NA,NA
Keith,Batsford,31,House husband,"Arlesey, Bedfordshire",2,8,NA,NA,NA,NA
Mary-Anne,Boermans,45,Housewife,"Kidderminster, Worcestershire",2,8,Lemon and Ginger Mille Feuille,Fruit Tarts with Elderflower CustardStrawberry and Rhubarb CheesecakesBlack Fruit Meringue with Everlasting Syllabub,Runner-up,3
Robert,Billington,25,Photographer,London,2,8,NA,NA,NA,NA
Simon,Blackwell,31,Rugby Coach,Norfolk,2,8,NA,NA,NA,NA
Urvashi,Roe,40,Head of Marketing,"Enfield, London",2,8,NA,NA,NA,NA
Yasmin,Limbert,43,Childminder,"West Kirby, The Wirral",2,8,NA,NA,NA,NA
Jo,Wheatley,41,Housewife,"Ongar, Essex",2,NA,NA,NA,NA,NA
Brendan,Lynch,63,Recruitment consultant,Sutton Coldfield,3,1,"Plum, Sour Cherry & Walnut",UNKNOWN,IN,10
Cathryn,Dresser,27,Shop assistant,"Pease Pottage, West Sussex",3,1,"Apple, Hazelnut and Calvados",Hidden Cupcake Cake,IN,5
Danny,Bryden,45,Intensive care consultant,Sheffield,3,1,"Plum, Ginger & Orange",UNKNOWN,IN,7
James,Morton,21,Medical student,"Hillswick, Shetland Islands",3,1,"Parsnip, Pear, and Pecan","""Simmer Dim"" Sunset Cake",IN,2
John,Whaite,22,Law student,Wigan,3,1,"Toffee Apple, Orange & Cranberry",Hidden Pink Hearts Cake,IN,11
Manisha,Parmar,27,Nursery nurse,Leicester,3,1,"Vanilla, Peach and Raspberry",White Chocolate Cake with a Red Velvet and White Chocolate Mousse Heart,IN,6
Natasha,Stringer,36,Midwife,"Tamworth, Staffordshire",3,1,Pineapple & Passion Fruit,Mother's Day Layered Rose Cake,OUT,12
Peter,Maloney,43,Sales manager,"Windsor, Berkshire",3,1,"Pear, Muscat & Chocolate",Jubilee Cake,IN,3
Ryan,Chong,38,Photographer,Bristol,3,1,Kumquat and Orange Polenta,Hidden Flowerbed Mousse Cake,IN,8
Sarah-Jane,Willis,28,Vicar's wife,"Bewbush, West Sussex",3,1,"Pear, Chocolate and Hazelnut",Hidden Crown Cake,IN,1
Stuart,Marston-Smith,26,PE teacher,"Lichfield, Staffordshire",3,1,Tomato and Ginger,Lemon and Pistachio Union Flag Cake,IN,9
Victoria,Chester,50,CEO of the charity Plantlife,Somerset,3,1,Pear and Pecan,Blackbird Pie Cake,STAR BAKER,4
Brendan,Lynch,63,Recruitment consultant,Sutton Coldfield,3,2,Middle Eastern Taboon BreadIndian Rotis,"Chocolate and Vanilla Bagels
Cumin and Gruyere Bagels",IN,4
Cathryn,Dresser,27,Shop assistant,"Pease Pottage, West Sussex",3,2,"Spiced Mango NaanLime, Coriander and Chilli Tortillas","Cranberry and Orange Bagels
Chipotle, Chili, and Smoked Cheddar Bagels",IN,8
Danny,Bryden,45,Intensive care consultant,Sheffield,3,2,Lime Coriander and Coconut TortillasZaatar Naan with Dukkah,UNKNOWN,IN,3
James,Morton,21,Medical student,"Hillswick, Shetland Islands",3,2,"Tomato, Garlic, and Parmesan FlatbreadsTattie Scones","Orange, Mint and Chocolate Bagels
'Millers' Sourdough Bagels",IN,2
John,Whaite,22,Law student,Wigan,3,2,"Coriander and Chilli RotisGarlic, Pomegranate and Potato Pitas","Fig, Walnut and Gruyere Bagels
Blueberry and White Chocolate Bagels",STAR BAKER,1
Manisha,Parmar,27,Nursery nurse,Leicester,3,2,Indian FlatbreadsItalian Flatbreads,UNKNOWN,IN,6
Natasha,Stringer,36,Midwife,"Tamworth, Staffordshire",3,2,NA,NA,NA,NA
Peter,Maloney,43,Sales manager,"Windsor, Berkshire",3,2,Fennel and Nigella Seed NaanBannock Bread,"Rosemary and Sea Salt Bagels
Apple and Cinnamon Bagels",OUT,11
Ryan,Chong,38,Photographer,Bristol,3,2,Shanghai Spring Onion FlatbreadsGarlic and Coriander Naan,"Cinnamon and Date Bagels
Tarragon and Rosemary Bagels",IN,5
Sarah-Jane,Willis,28,Vicar's wife,"Bewbush, West Sussex",3,2,Toasted Coconut and Lime RotisOatcakes,UNKNOWN,IN,10
Stuart,Marston-Smith,26,PE teacher,"Lichfield, Staffordshire",3,2,Bombay BreadChorizo and Spring Onion Naan,"Cinnamon and Cranberry Bagels
Tomato and Thyme Bagels",IN,9
Victoria,Chester,50,CEO of the charity Plantlife,Somerset,3,2,Coriander and Lemon NaanGarlic and Parsnip Chapatis,"Saffron and Golden Raisin Bagels
Porcini Bagels",IN,7
Brendan,Lynch,63,Recruitment consultant,Sutton Coldfield,3,3,Apple and Ginger Tarte Tatin,"Blackberry, Nectarine and Dragon Fruit Tart",IN,9
Cathryn,Dresser,27,Shop assistant,"Pease Pottage, West Sussex",3,3,"Plum, Cherry and Five Spice Tarte Tatin","Raspberry, Pistachio and Lemon Tart",IN,3
Danny,Bryden,45,Intensive care consultant,Sheffield,3,3,Savoury Pear and Roquefort Tarte Tatin,"Pineapple, Coconut and Frangipane Tart",IN,2
James,Morton,21,Medical student,"Hillswick, Shetland Islands",3,3,Apple and Lavender Tarte Tatin,"Rose, Lychee and Raspberry Fruit Tart",STAR BAKER,1
John,Whaite,22,Law student,Wigan,3,3,Apple and Vanilla Tarte Tatin with Walnut Praline,"Berries, Grapes, Pomegranate, and Dragon Fruit Tart",IN,6
Manisha,Parmar,27,Nursery nurse,Leicester,3,3,"Cinnamon, Apple and Pear Tarte Tatin",Rum and Tropical Fruit Tart,IN,10
Natasha,Stringer,36,Midwife,"Tamworth, Staffordshire",3,3,NA,NA,NA,NA
Peter,Maloney,43,Sales manager,"Windsor, Berkshire",3,3,NA,NA,NA,NA
Ryan,Chong,38,Photographer,Bristol,3,3,Spiced Pear Tarte Tatin,UNKNOWN,IN,5
Sarah-Jane,Willis,28,Vicar's wife,"Bewbush, West Sussex",3,3,Caramelised Banana Tarte Tatin,French Apple Tart with Blackberry and Cassis Jam,IN,8
Stuart,Marston-Smith,26,PE teacher,"Lichfield, Staffordshire",3,3,Pear and Almond Tarte Tatin,Raspberry Triple Chocolate Layered Tart,IN,7
Victoria,Chester,50,CEO of the charity Plantlife,Somerset,3,3,"Fig, Walnut and Pink Peppercorn Tarte Tatin",Tropical Fruit Tart with Black Pepper Crust,OUT,4
Brendan,Lynch,63,Recruitment consultant,Sutton Coldfield,3,4,Clementine and Chestnut Torte,"Pear, Chocolate and Hazelnut Dacquoise",STAR BAKER,1
Cathryn,Dresser,27,Shop assistant,"Pease Pottage, West Sussex",3,4,"White Chocolate, Macadamia and Coffee Torte","Gooseberry, Almond and Honey Meringue",IN,3
Danny,Bryden,45,Intensive care consultant,Sheffield,3,4,"Blackberry, White Chocolate, Lemon and Elderflower Torte","'Monte Bianco' Chestnut, Chocolate and Coffee Dacquoise",IN,2
James,Morton,21,Medical student,"Hillswick, Shetland Islands",3,4,"Hazelnut, Chocolate and Passionfruit Torte","Fig, Chestnut, Cherry and Chocolate Layered Meringue",IN,5
John,Whaite,22,Law student,Wigan,3,4,'Torte Noir' Black Forest Torte with Boozy Cream,Elderflower and Bramble Berry Pavlova,IN,6
Manisha,Parmar,27,Nursery nurse,Leicester,3,4,"Almond, Chocolate and Cherry Torte",Tiramisu Layered Meringue Dessert,IN,9
Natasha,Stringer,36,Midwife,"Tamworth, Staffordshire",3,4,NA,NA,NA,NA
Peter,Maloney,43,Sales manager,"Windsor, Berkshire",3,4,NA,NA,NA,NA
Ryan,Chong,38,Photographer,Bristol,3,4,Green Tea Opera Torte,"Strawberry, Rose and Pistachio Meringue",IN,7
Sarah-Jane,Willis,28,Vicar's wife,"Bewbush, West Sussex",3,4,Chocolate and Almond Truffle Torte,Hazelnut Tiramisu Layered Meringue,IN,4
Stuart,Marston-Smith,26,PE teacher,"Lichfield, Staffordshire",3,4,Black Forest Torte,Choca Blocka Mocha Meringue,OUT,8
Victoria,Chester,50,CEO of the charity Plantlife,Somerset,3,4,NA,NA,NA,NA
Brendan,Lynch,63,Recruitment consultant,Sutton Coldfield,3,5,Salmon Coulibiac in a Scandinavian Pastry,All American Chiffon Pie,IN,3
